Date : 2023-04-10 16:28:32
Directory : /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp
Total : 109 files,  50643 codes, 1070 comments, 1167 blanks, all 52880 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     37,081 |         24 |          4 |     37,109 |
| TypeScript JSX     |         66 |     11,511 |        777 |        951 |     13,239 |
| TypeScript         |         19 |      1,482 |        246 |        142 |      1,870 |
| JavaScript         |         15 |        513 |         21 |         58 |        592 |
| Markdown           |          1 |         30 |          0 |         10 |         40 |
| JSON with Comments |          2 |         17 |          2 |          1 |         20 |
| XML                |          1 |          9 |          0 |          1 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        109 |     50,643 |      1,070 |      1,167 |     52,880 |
| . (Files)                                                                                                                      |         13 |     37,712 |        100 |         59 |     37,871 |
| .expo-shared                                                                                                                   |          1 |          4 |          0 |          1 |          5 |
| assets                                                                                                                         |          2 |         47 |          0 |          4 |         51 |
| assets (Files)                                                                                                                 |          1 |          9 |          0 |          1 |         10 |
| assets/SVG                                                                                                                     |          1 |         38 |          0 |          3 |         41 |
| components                                                                                                                     |         54 |      7,078 |        401 |        565 |      8,044 |
| components/Auth                                                                                                                |          3 |        397 |         16 |         38 |        451 |
| components/Currency                                                                                                            |          1 |         89 |          4 |         10 |        103 |
| components/Errors                                                                                                              |          1 |         24 |          4 |          3 |         31 |
| components/ExpensesOutput                                                                                                      |         13 |      2,163 |        102 |        178 |      2,443 |
| components/ExpensesOutput (Files)                                                                                              |          7 |        978 |         65 |         72 |      1,115 |
| components/ExpensesOutput/ExpenseStatistics                                                                                    |          6 |      1,185 |         37 |        106 |      1,328 |
| components/ExpensesOverview                                                                                                    |          2 |        240 |          7 |         13 |        260 |
| components/Hooks                                                                                                               |          1 |         19 |          7 |          7 |         33 |
| components/ImportExport                                                                                                        |          4 |        472 |         90 |         44 |        606 |
| components/ManageExpense                                                                                                       |          4 |      1,235 |         44 |         67 |      1,346 |
| components/ManageProfile                                                                                                       |          1 |        245 |         12 |         17 |        274 |
| components/ManageTrip                                                                                                          |          1 |        482 |         26 |         35 |        543 |
| components/Premium                                                                                                             |          3 |        270 |         20 |         24 |        314 |
| components/ProfileOutput                                                                                                       |          4 |        568 |         17 |         46 |        631 |
| components/UI                                                                                                                  |         16 |        874 |         52 |         83 |      1,009 |
| constants                                                                                                                      |          1 |        108 |          4 |          2 |        114 |
| firebase                                                                                                                       |          3 |         40 |          8 |          8 |         56 |
| i18n                                                                                                                           |          1 |        507 |         56 |         55 |        618 |
| screens                                                                                                                        |         15 |      2,985 |        203 |        221 |      3,409 |
| store                                                                                                                          |          7 |        889 |         80 |        127 |      1,096 |
| util                                                                                                                           |         12 |      1,273 |        218 |        125 |      1,616 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/## Configuration.md                                                 | Markdown           |         30 |          0 |         10 |         40 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/.eslintrc.js                                                        | JavaScript         |         20 |          0 |          1 |         21 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/.expo-shared/assets.json                                            | JSON               |          4 |          0 |          1 |          5 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/App.tsx                                                             | TypeScript JSX     |        547 |         61 |         36 |        644 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/app.json                                                            | JSON               |         18 |         24 |          0 |         42 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/assets/SVG/toggleButton.js                                          | JavaScript         |         38 |          0 |          3 |         41 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/assets/toggleGraph.svg                                              | XML                |          9 |          0 |          1 |         10 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/babel.config.js                                                     | JavaScript         |          7 |          0 |          1 |          8 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Auth/AuthContent.tsx                                     | TypeScript JSX     |        101 |          2 |         16 |        119 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Auth/AuthForm.tsx                                        | TypeScript JSX     |        236 |         14 |         16 |        266 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Auth/Input.tsx                                           | TypeScript JSX     |         60 |          0 |          6 |         66 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Currency/CurrencyPicker.tsx                              | TypeScript JSX     |         89 |          4 |         10 |        103 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Errors/Alert.tsx                                         | TypeScript JSX     |         24 |          4 |          3 |         31 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseCountryFlag.tsx                    | TypeScript JSX     |         21 |          1 |          4 |         26 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseItem.tsx                           | TypeScript JSX     |        317 |          4 |         16 |        337 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseStatistics/CategoryProgressBar.tsx | TypeScript JSX     |        108 |          0 |          9 |        117 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseStatistics/ExpenseCategories.tsx   | TypeScript JSX     |        158 |          2 |         19 |        179 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseStatistics/ExpenseCountries.tsx    | TypeScript JSX     |        154 |          2 |         19 |        175 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseStatistics/ExpenseCurrencies.tsx   | TypeScript JSX     |        150 |          2 |         19 |        171 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseStatistics/ExpenseGraph.tsx        | TypeScript JSX     |        407 |         21 |         19 |        447 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpenseStatistics/ExpenseTravellers.tsx   | TypeScript JSX     |        208 |         10 |         21 |        239 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpensesList.tsx                          | TypeScript JSX     |        182 |         37 |         15 |        234 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpensesOutput.tsx                        | TypeScript JSX     |         74 |          0 |          8 |         82 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpensesOverview.tsx                      | TypeScript JSX     |        228 |          9 |         13 |        250 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/ExpensesSummary.tsx                       | TypeScript JSX     |        115 |         14 |         12 |        141 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOutput/RecentExpensesUtil.ts                     | TypeScript         |         41 |          0 |          4 |         45 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOverview/CategoryChart.tsx                       | TypeScript JSX     |         83 |          3 |          7 |         93 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ExpensesOverview/ExpenseChart.tsx                        | TypeScript JSX     |        157 |          4 |          6 |        167 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Hooks/useInterval.ts                                     | TypeScript         |         19 |          7 |          7 |         33 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ImportExport/ExportToGoogleXlsx.ts                       | TypeScript         |         31 |          3 |          4 |         38 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ImportExport/ImportExpense.ts                            | TypeScript         |         51 |         29 |          7 |         87 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ImportExport/ImportFromGoogleXlsx.ts                     | TypeScript         |        248 |         38 |         17 |        303 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ImportExport/OpenXLSXPicker.ts                           | TypeScript         |        142 |         20 |         16 |        178 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/AddExpenseButton.tsx                       | TypeScript JSX     |         76 |          3 |          9 |         88 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/ExpenseForm.tsx                            | TypeScript JSX     |      1,017 |         39 |         48 |      1,104 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/ExpensePicker.js                           | JavaScript         |         55 |          0 |          4 |         59 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/Input.tsx                                  | TypeScript JSX     |         87 |          2 |          6 |         95 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageProfile/ProfileForm.tsx                            | TypeScript JSX     |        245 |         12 |         17 |        274 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageTrip/TripForm.tsx                                  | TypeScript JSX     |        482 |         26 |         35 |        543 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Premium/PackageItem.tsx                                  | TypeScript JSX     |         79 |          0 |         10 |         89 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Premium/PayWall.tsx                                      | TypeScript JSX     |        164 |         10 |         11 |        185 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Premium/PremiumConstants.tsx                             | TypeScript JSX     |         27 |         10 |          3 |         40 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/ShareTrip.js                               | JavaScript         |         40 |          6 |          7 |         53 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/TripHistoryItem.tsx                        | TypeScript JSX     |        261 |          7 |         17 |        285 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/TripItem.tsx                               | TypeScript JSX     |        219 |          4 |         17 |        240 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/TripList.tsx                               | TypeScript JSX     |         48 |          0 |          5 |         53 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/BackgroundGradient.tsx                                | TypeScript JSX     |         12 |          0 |          4 |         16 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/BottomTabBar.tsx                                      | TypeScript JSX     |        129 |          2 |         12 |        143 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/Button.tsx                                            | TypeScript JSX     |         67 |          2 |          4 |         73 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/DatePickerContainer.tsx                               | TypeScript JSX     |         68 |          0 |          5 |         73 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/DatePickerModal.tsx                                   | TypeScript JSX     |         65 |          2 |          5 |         72 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/ErrorOverlay.js                                       | JavaScript         |         32 |          0 |          4 |         36 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/FlatButton.tsx                                        | TypeScript JSX     |         34 |          0 |          6 |         40 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/GradientButton.tsx                                    | TypeScript JSX     |         79 |          2 |          4 |         85 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/IconButton.js                                         | JavaScript         |         48 |          0 |          4 |         52 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/LinkButton.tsx                                        | TypeScript JSX     |         53 |          2 |          4 |         59 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/LoadingOverlay.tsx                                    | TypeScript JSX     |         34 |          2 |          5 |         41 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/SettingsSection.tsx                                   | TypeScript JSX     |         61 |          3 |          9 |         73 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/SettingsSwitch.tsx                                    | TypeScript JSX     |         49 |          6 |          4 |         59 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/SplashScreenOverlay.tsx                               | TypeScript JSX     |         61 |          4 |          4 |         69 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/ToastComponent.tsx                                    | TypeScript JSX     |         40 |         27 |          4 |         71 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/selectCategoryIcon.tsx                                | TypeScript JSX     |         42 |          0 |          5 |         47 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/confAppConstants.ts                                                 | TypeScript         |          9 |          9 |          2 |         20 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/constants/styles.ts                                                 | TypeScript         |        108 |          4 |          2 |        114 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/eas.json                                                            | JSON               |         49 |          0 |          1 |         50 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/firebase/getFirebaseDatabase.js                                     | JavaScript         |          5 |          1 |          2 |          8 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/firebase/initializeFirebaseApp.js                                   | JavaScript         |         14 |          7 |          3 |         24 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/firebase/testAuth.js                                                | JavaScript         |         21 |          0 |          3 |         24 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/i18n/supportedLanguages.tsx                                         | TypeScript JSX     |        507 |         56 |         55 |        618 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/index.js                                                            | JavaScript         |          3 |          3 |          3 |          9 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/jsconfig.json                                                       | JSON with Comments |         10 |          2 |          0 |         12 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/metro.config.js                                                     | JavaScript         |          2 |          1 |          2 |          5 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/package-lock.json                                                   | JSON               |     36,921 |          0 |          1 |     36,922 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/package.json                                                        | JSON               |         89 |          0 |          1 |         90 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/CategoryPickScreen.tsx                                      | TypeScript JSX     |        294 |         45 |         19 |        358 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/FilteredExpenses.tsx                                        | TypeScript JSX     |         74 |          5 |          7 |         86 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ImportGSScreen.js                                           | JavaScript         |        128 |          1 |          8 |        137 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/JoinTrip.tsx                                                | TypeScript JSX     |        219 |         10 |         12 |        241 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/LoginScreen.tsx                                             | TypeScript JSX     |         98 |         10 |          9 |        117 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ManageCategoryScreen.tsx                                    | TypeScript JSX     |        532 |         17 |         22 |        571 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ManageExpense.tsx                                           | TypeScript JSX     |        267 |         38 |         27 |        332 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/OnboardingScreen.js                                         | JavaScript         |         60 |          2 |          6 |         68 |
| /Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/OverviewScreen.tsx                                          | TypeScript JSX     |        146 |          3 |         13 |        162 |
